LOYALTY_CARD_#,LIFESTAGE,PREMIUM_CUSTOMER
86054,Retirees,Premium
86055,Young Families,Mainstream
86056,Older Singles/Couples,Mainstream
86057,Young Singles/Couples,Budget
86058,Midage Singles/Couples,Mainstream
86059,Older Singles/Couples,Premium
86060,Older Singles/Couples,Premium
86061,Young Families,Mainstream
86062,Retirees,Budget
86063,Older Families,Premium
86064,Older Families,Budget
86065,Young Singles/Couples,Premium
86066,Midage Singles/Couples,Mainstream
86067,Older Families,Budget
86068,Retirees,Mainstream
86069,Older Families,Budget
86070,Retirees,Mainstream
86071,Older Families,Premium
86072,Young Families,Budget
86073,Midage Singles/Couples,Mainstream
86074,Older Singles/Couples,Budget
86075,Retirees,Mainstream
86076,Older Singles/Couples,Mainstream
86077,Retirees,Premium
86078,Young Singles/Couples,Premium
86079,Young Singles/Couples,Mainstream
86080,Older Families,Budget
86081,Retirees,Mainstream
86082,Older Families,Budget
86083,Older Families,Premium
86084,Older Singles/Couples,Budget
86085,Retirees,Mainstream
86086,Retirees,Budget
86087,Retirees,Mainstream
86088,Young Families,Budget
86089,Older Families,Premium
86090,Midage Singles/Couples,Mainstream
86091,Midage Singles/Couples,Premium
86092,Young Families,Mainstream
86093,Older Families,Budget
86094,Retirees,Mainstream
86095,Older Singles/Couples,Mainstream
86096,Young Families,Budget
86097,Young Families,Premium
86098,Older Singles/Couples,Mainstream
86099,Midage Singles/Couples,Premium
86100,Older Families,Budget
86101,Young Singles/Couples,Mainstream
86102,Young Families,Budget
86103,Older Families,Premium
86104,Older Singles/Couples,Budget
86105,Midage Singles/Couples,Mainstream
86106,Young Singles/Couples,Budget
86107,Young Families,Mainstream
86108,Young Families,Mainstream
86109,Retirees,Budget
86110,Older Singles/Couples,Budget
86111,Older Families,Mainstream
86112,Older Singles/Couples,Budget
86113,Older Singles/Couples,Budget
86114,Young Singles/Couples,Mainstream
86115,Older Families,Premium
86116,Older Families,Budget
86117,Older Singles/Couples,Mainstream
86118,Older Families,Budget
86119,Older Singles/Couples,Premium
86120,Older Families,Budget
86121,Midage Singles/Couples,Mainstream
86122,Retirees,Budget
86123,Retirees,Budget
86124,Retirees,Budget
86125,Young Families,Budget
86126,Young Families,Budget
86127,Retirees,Premium
86128,Retirees,Mainstream
86129,Older Singles/Couples,Premium
86130,Young Families,Mainstream
86131,Retirees,Mainstream
86132,Midage Singles/Couples,Premium
86133,Young Singles/Couples,Mainstream
86134,Older Singles/Couples,Budget
86135,Older Families,Budget
86136,Older Families,Mainstream
86137,Older Families,Mainstream
86138,Older Singles/Couples,Budget
86139,Midage Singles/Couples,Mainstream
86140,Midage Singles/Couples,Mainstream
86141,Older Families,Premium
86142,Young Families,Budget
86143,Young Singles/Couples,Mainstream
86144,Older Singles/Couples,Budget
86145,Young Singles/Couples,Mainstream
86146,Midage Singles/Couples,Mainstream
86147,Older Families,Premium
86148,Older Families,Premium
86149,Older Singles/Couples,Premium
86150,Older Singles/Couples,Budget
86151,Young Families,Mainstream
86152,Young Singles/Couples,Budget
86153,Older Singles/Couples,Mainstream
86154,Older Singles/Couples,Budget
86155,Young Families,Budget
86156,Older Families,Mainstream
86157,Retirees,Mainstream
86158,Midage Singles/Couples,Premium
86159,Young Singles/Couples,Budget
86160,Older Families,Premium
86161,Retirees,Mainstream
86162,Older Families,Budget
86163,Retirees,Mainstream
86164,Young Families,Premium
86165,Young Families,Budget
86166,Older Singles/Couples,Mainstream
86167,Older Families,Mainstream
86168,New Families,Mainstream
86169,New Families,Mainstream
86170,Young Families,Mainstream
86171,Midage Singles/Couples,Premium
86172,Older Families,Budget
86173,Young Singles/Couples,Mainstream
86174,Older Families,Budget
86175,Older Singles/Couples,Mainstream
86176,Older Families,Mainstream
86177,Young Families,Budget
86178,New Families,Premium
86179,Older Singles/Couples,Premium
86180,Older Families,Budget
86181,New Families,Mainstream
86182,Older Singles/Couples,Mainstream
86183,Older Singles/Couples,Budget
86184,Retirees,Budget
86185,Retirees,Mainstream
86186,Young Families,Mainstream
86187,Young Singles/Couples,Mainstream
86188,Retirees,Premium
86189,Older Singles/Couples,Budget
86190,Older Families,Budget
86191,Young Families,Budget
86192,Retirees,Mainstream
86193,Young Families,Mainstream
86194,Older Singles/Couples,Budget
86195,New Families,Budget
86196,Young Singles/Couples,Budget
86197,Retirees,Mainstream
86198,Young Families,Mainstream
86199,Young Singles/Couples,Premium
86200,Retirees,Premium
86201,Midage Singles/Couples,Mainstream
86202,Older Families,Budget
86203,Retirees,Budget
86204,Older Singles/Couples,Premium
86205,Retirees,Budget
86206,New Families,Mainstream
86207,Young Families,Premium
86208,Young Singles/Couples,Mainstream
86209,Young Families,Mainstream
86210,Older Singles/Couples,Budget
86211,Retirees,Premium
86212,Older Singles/Couples,Budget
86213,Midage Singles/Couples,Mainstream
86214,Older Families,Budget
86215,Older Families,Budget
86216,New Families,Budget
86217,Retirees,Mainstream
86218,Older Families,Budget
86219,Retirees,Premium
86220,Young Families,Budget
86221,Retirees,Mainstream
86222,Young Families,Premium
86223,Retirees,Mainstream
86224,Older Families,Premium
86225,Retirees,Mainstream
86226,Older Singles/Couples,Mainstream
86227,Retirees,Mainstream
86228,Older Families,Premium
86229,Older Families,Premium
86230,Older Families,Mainstream
86231,Young Families,Budget
86232,Retirees,Mainstream
86233,Midage Singles/Couples,Premium
86234,Young Families,Premium
86235,Older Families,Budget
86236,Older Families,Budget
86237,Young Singles/Couples,Premium
86238,Older Singles/Couples,Mainstream
86239,Retirees,Premium
86240,Retirees,Premium
86241,Midage Singles/Couples,Premium
86242,Midage Singles/Couples,Mainstream
86243,Young Families,Mainstream
86244,Older Singles/Couples,Budget
86245,Midage Singles/Couples,Budget
86246,Older Singles/Couples,Mainstream
86247,Young Singles/Couples,Mainstream
86248,Midage Singles/Couples,Budget
86249,Older Singles/Couples,Budget
86250,Older Families,Budget
86406,Older Families,Budget
86410,Young Singles/Couples,Budget
87000,Older Singles/Couples,Mainstream
87001,Older Families,Premium
87002,Retirees,Mainstream
87003,Retirees,Mainstream
87004,Young Families,Budget
87006,Young Singles/Couples,Mainstream
87007,Midage Singles/Couples,Mainstream
87009,Older Singles/Couples,Mainstream
87011,Older Families,Premium
87013,Young Singles/Couples,Mainstream
87014,Older Singles/Couples,Mainstream
87016,Retirees,Budget
87018,Young Singles/Couples,Mainstream
87020,Young Singles/Couples,Budget
87021,Older Singles/Couples,Premium
87022,Retirees,Mainstream
87024,Young Singles/Couples,Mainstream
87025,Older Singles/Couples,Premium
87026,Young Families,Premium
87027,Older Singles/Couples,Premium
87031,Young Singles/Couples,Mainstream
87032,Retirees,Premium
87033,Older Singles/Couples,Budget
87034,Young Singles/Couples,Budget
87036,Young Families,Budget
87037,Young Singles/Couples,Mainstream
87038,Retirees,Mainstream
87041,Young Singles/Couples,Mainstream
87042,Older Families,Budget
87043,Older Families,Budget
87044,Young Singles/Couples,Mainstream
87045,Retirees,Mainstream
87046,Retirees,Mainstream
87047,Retirees,Mainstream
87049,Young Families,Budget
87051,Retirees,Mainstream
87052,Young Families,Budget
87055,Midage Singles/Couples,Mainstream
87056,New Families,Premium
87057,Older Singles/Couples,Mainstream
87060,Young Singles/Couples,Mainstream
87061,Young Singles/Couples,Mainstream
87062,Young Singles/Couples,Budget
87064,Young Singles/Couples,Budget
87065,Older Families,Budget
87066,Midage Singles/Couples,Mainstream
87067,Older Singles/Couples,Premium
87068,Young Families,Mainstream
87069,Older Singles/Couples,Mainstream
87070,Retirees,Mainstream
87071,Young Singles/Couples,Mainstream
87072,Young Singles/Couples,Mainstream
87074,Young Families,Premium
87075,Older Families,Mainstream
87076,Midage Singles/Couples,Premium
87077,Young Singles/Couples,Mainstream
87078,New Families,Budget
87080,Retirees,Mainstream
87081,Older Singles/Couples,Mainstream
87083,Older Singles/Couples,Budget
87085,Young Singles/Couples,Mainstream
87086,Retirees,Mainstream
87087,Young Singles/Couples,Premium
87088,Older Singles/Couples,Budget
87091,New Families,Budget
87092,Midage Singles/Couples,Mainstream
87093,Midage Singles/Couples,Premium
87094,Retirees,Premium
87096,Young Singles/Couples,Mainstream
87097,Young Singles/Couples,Mainstream
87098,Young Singles/Couples,Budget
87100,Older Singles/Couples,Mainstream
87103,Retirees,Mainstream
87104,Older Families,Mainstream
87105,Older Singles/Couples,Budget
87106,Older Singles/Couples,Mainstream
87107,Older Singles/Couples,Premium
87108,Young Singles/Couples,Mainstream
87109,Young Singles/Couples,Budget
87110,Older Families,Premium
87111,Retirees,Budget
87112,Young Singles/Couples,Mainstream
87113,Older Singles/Couples,Mainstream
87115,Retirees,Mainstream
87116,Older Singles/Couples,Budget
87118,Young Families,Budget
87119,Young Families,Mainstream
87120,Older Singles/Couples,Budget
87121,Older Singles/Couples,Premium
87122,Young Families,Budget
87123,Young Singles/Couples,Mainstream
87124,Young Singles/Couples,Mainstream
87126,Young Singles/Couples,Premium
87127,Midage Singles/Couples,Premium
87128,Young Families,Budget
87129,Midage Singles/Couples,Mainstream
87130,Retirees,Premium
87132,Older Singles/Couples,Budget
87134,Retirees,Mainstream
87135,Older Singles/Couples,Budget
87136,Older Singles/Couples,Budget
87137,Young Families,Budget
87138,Retirees,Mainstream
87139,Young Singles/Couples,Mainstream
87140,Older Families,Budget
87141,Young Singles/Couples,Budget
87142,Young Singles/Couples,Mainstream
87143,Older Families,Premium
87144,Retirees,Premium
87145,Young Singles/Couples,Mainstream
87147,Older Families,Premium
87148,Older Singles/Couples,Budget
87149,Retirees,Budget
87150,Young Singles/Couples,Mainstream
87151,Young Singles/Couples,Budget
87152,Older Singles/Couples,Mainstream
87153,Young Singles/Couples,Mainstream
87154,Young Families,Mainstream
87155,Young Families,Mainstream
87156,Retirees,Mainstream
87157,Retirees,Mainstream
87158,Young Singles/Couples,Budget
87159,Young Families,Mainstream
87160,Young Singles/Couples,Mainstream
87161,Older Singles/Couples,Premium
87163,Young Singles/Couples,Mainstream
87164,Midage Singles/Couples,Mainstream
87166,New Families,Mainstream
87167,Young Families,Budget
87168,Retirees,Mainstream
87169,Retirees,Premium
87172,Older Singles/Couples,Budget
87173,Older Families,Mainstream
87174,Young Singles/Couples,Mainstream
87175,Midage Singles/Couples,Premium
87177,Young Singles/Couples,Mainstream
87179,New Families,Budget
87180,Older Singles/Couples,Mainstream
87181,Midage Singles/Couples,Mainstream
87182,Midage Singles/Couples,Budget
87184,Young Singles/Couples,Mainstream
87186,Young Singles/Couples,Mainstream
87187,Retirees,Premium
87188,Retirees,Premium
87189,Older Families,Budget
87191,Young Singles/Couples,Mainstream
87192,Young Families,Budget
87194,Young Families,Budget
87195,Retirees,Budget
87196,Midage Singles/Couples,Budget
87197,Young Families,Budget
87198,Young Singles/Couples,Budget
87200,Young Singles/Couples,Budget
87201,Midage Singles/Couples,Budget
87202,Older Singles/Couples,Premium
87203,New Families,Budget
87204,Young Families,Budget
87205,Retirees,Mainstream
87206,Older Families,Budget
87208,Older Singles/Couples,Mainstream
87211,Older Families,Premium
87212,Midage Singles/Couples,Mainstream
87213,Retirees,Budget
87214,Young Singles/Couples,Budget
87215,Retirees,Budget
87216,Young Singles/Couples,Mainstream
87217,Older Singles/Couples,Mainstream
87218,Young Singles/Couples,Mainstream
87219,Young Singles/Couples,Premium
87221,Young Singles/Couples,Mainstream
87222,Older Families,Premium
87223,Young Singles/Couples,Mainstream
87224,Midage Singles/Couples,Premium
87226,Young Families,Budget
87228,Midage Singles/Couples,Mainstream
87230,Retirees,Premium
87232,Young Singles/Couples,Mainstream
87233,Young Singles/Couples,Budget
87235,Midage Singles/Couples,Budget
87236,Retirees,Mainstream
87237,Older Families,Budget
87239,Young Families,Budget
87244,Retirees,Premium
87245,Older Singles/Couples,Mainstream
87246,Young Families,Budget
87247,Older Singles/Couples,Budget
87248,Older Singles/Couples,Premium
87249,Young Singles/Couples,Mainstream
87250,Older Singles/Couples,Budget
87251,Older Singles/Couples,Premium
87253,Retirees,Premium
87256,Retirees,Premium
87259,Older Singles/Couples,Premium
87260,Young Singles/Couples,Mainstream
87261,Retirees,Budget
87262,Young Families,Budget
87267,Midage Singles/Couples,Mainstream
87270,Older Singles/Couples,Premium
87271,Young Families,Budget
87272,Retirees,Budget
87273,Older Singles/Couples,Premium
87274,Older Singles/Couples,Budget
87278,Young Families,Budget
87279,Young Singles/Couples,Mainstream
87280,Young Singles/Couples,Mainstream
87281,Young Families,Premium
87282,Older Families,Budget
87283,Midage Singles/Couples,Mainstream
87284,Retirees,Mainstream
87285,Young Singles/Couples,Mainstream
87286,Retirees,Budget
87288,Young Singles/Couples,Mainstream
87289,Older Singles/Couples,Budget
87290,Retirees,Budget
87291,Older Singles/Couples,Premium
87292,Young Families,Budget
87293,Young Singles/Couples,Mainstream
87295,Young Singles/Couples,Mainstream
87296,Young Singles/Couples,Mainstream
87297,Young Families,Premium
87299,Retirees,Mainstream
87301,Young Singles/Couples,Mainstream
87302,Young Singles/Couples,Budget
87304,Retirees,Mainstream
87305,Midage Singles/Couples,Mainstream
87306,Young Families,Budget
87307,Young Singles/Couples,Budget
87308,Retirees,Mainstream
87309,Young Singles/Couples,Mainstream
87310,Older Singles/Couples,Mainstream
87311,Retirees,Premium
87312,Young Families,Budget
87313,Retirees,Mainstream
87317,Midage Singles/Couples,Budget
87318,Young Singles/Couples,Premium
87319,Young Singles/Couples,Mainstream
87320,Young Singles/Couples,Mainstream
87321,Young Singles/Couples,Mainstream
87322,Young Singles/Couples,Budget
87323,Young Singles/Couples,Mainstream
87324,Young Singles/Couples,Budget
87325,Older Singles/Couples,Budget
87327,Young Singles/Couples,Budget
87328,Young Singles/Couples,Mainstream
87329,Retirees,Mainstream
87330,Midage Singles/Couples,Mainstream
87331,New Families,Premium
87332,Midage Singles/Couples,Mainstream
87333,Young Singles/Couples,Budget
87334,Older Singles/Couples,Mainstream
87335,Young Families,Mainstream
87337,Retirees,Premium
87338,Older Families,Mainstream
87339,Young Singles/Couples,Mainstream
87341,Retirees,Mainstream
87342,Retirees,Premium
87343,Retirees,Premium
87345,Older Singles/Couples,Budget
87347,Young Singles/Couples,Premium
87348,Young Families,Budget
87349,Older Singles/Couples,Budget
87351,Young Singles/Couples,Mainstream
87352,Young Singles/Couples,Premium
87353,Retirees,Premium
87354,Older Families,Budget
87355,Older Families,Budget
87356,Older Families,Premium
87357,Retirees,Budget
87358,Young Singles/Couples,Budget
87359,Retirees,Premium
87360,Young Singles/Couples,Mainstream
87361,Young Singles/Couples,Mainstream
87362,Retirees,Mainstream
87363,Young Singles/Couples,Budget
87365,Older Singles/Couples,Budget
87366,Young Singles/Couples,Premium
87367,Older Singles/Couples,Budget
87369,Young Families,Budget
87370,Young Singles/Couples,Budget
88000,Midage Singles/Couples,Budget
88001,Retirees,Budget
88002,Young Singles/Couples,Mainstream
88003,Older Families,Mainstream
88004,Young Singles/Couples,Mainstream
88005,Retirees,Mainstream
88006,Young Singles/Couples,Mainstream
88007,Young Singles/Couples,Premium
88008,Retirees,Premium
88009,Older Singles/Couples,Budget
88010,Older Singles/Couples,Mainstream
88011,Older Families,Mainstream
88012,Young Families,Premium
88013,Young Families,Premium
88014,Young Families,Mainstream
88015,Midage Singles/Couples,Premium
88016,Older Families,Mainstream
88017,Older Families,Mainstream
88018,Older Families,Premium
88019,Retirees,Premium
88020,Older Singles/Couples,Budget
88021,Retirees,Mainstream
88022,Retirees,Budget
88023,Retirees,Budget
88024,Retirees,Mainstream
88025,Midage Singles/Couples,Mainstream
88026,Retirees,Mainstream
88027,Young Singles/Couples,Mainstream
88028,Midage Singles/Couples,Premium
88029,Retirees,Premium
88030,Older Singles/Couples,Mainstream
88031,Older Singles/Couples,Mainstream
88032,Older Singles/Couples,Premium
88033,New Families,Premium
88034,Older Families,Budget
88035,Retirees,Mainstream
88036,Midage Singles/Couples,Mainstream
88037,Retirees,Budget
88038,Older Families,Premium
88039,Older Singles/Couples,Premium
88040,Older Singles/Couples,Mainstream
88041,Retirees,Mainstream
88042,Older Families,Budget
88043,Older Singles/Couples,Budget
88044,Older Families,Mainstream
88045,Older Singles/Couples,Premium
88046,Young Singles/Couples,Mainstream
88047,Older Singles/Couples,Mainstream
88048,Young Families,Premium
88049,Young Families,Premium
88050,Young Families,Budget
88051,Older Families,Premium
88052,Retirees,Premium
88053,Older Singles/Couples,Premium
88054,Retirees,Budget
88055,Older Singles/Couples,Premium
88056,Older Singles/Couples,Premium
88057,Older Singles/Couples,Budget
88058,Young Singles/Couples,Premium
88059,Young Singles/Couples,Budget
88060,Older Singles/Couples,Mainstream
88061,Older Singles/Couples,Premium
88062,Older Families,Premium
88063,Older Singles/Couples,Mainstream
88064,Young Singles/Couples,Premium
88066,Older Families,Mainstream
88067,Young Families,Budget
88068,Retirees,Premium
88069,Retirees,Budget
88070,Older Singles/Couples,Mainstream
88071,Retirees,Budget
88072,Older Families,Budget
88073,Retirees,Budget
88074,Midage Singles/Couples,Budget
88075,Young Singles/Couples,Mainstream
88076,Midage Singles/Couples,Mainstream
88077,Older Families,Mainstream
88078,Retirees,Budget
88079,New Families,Mainstream
88080,Older Singles/Couples,Budget
88081,Older Families,Budget
88082,Young Singles/Couples,Budget
88083,Midage Singles/Couples,Mainstream
88084,Older Singles/Couples,Premium
88085,Young Families,Premium
88086,Older Singles/Couples,Premium
88087,Young Families,Budget
88088,Older Singles/Couples,Budget
88089,Midage Singles/Couples,Budget
88090,Older Singles/Couples,Premium
88091,Older Singles/Couples,Mainstream
88092,Young Families,Premium
88093,Older Families,Budget
88094,Retirees,Premium
88095,Retirees,Budget
88096,Young Families,Mainstream
88097,Older Families,Budget
88098,Older Families,Budget
88099,Young Singles/Couples,Mainstream
88100,Older Families,Mainstream
88101,Midage Singles/Couples,Premium
88102,Young Families,Premium
88103,Retirees,Premium
88104,Older Singles/Couples,Budget
88105,Young Families,Budget
88106,Young Singles/Couples,Premium
88107,Retirees,Premium
88108,Older Families,Budget
88109,Young Singles/Couples,Mainstream
88110,Retirees,Mainstream
88111,Older Families,Budget
88112,Older Families,Mainstream
88113,Midage Singles/Couples,Premium
88114,Young Families,Premium
88115,Older Singles/Couples,Premium
88117,Young Singles/Couples,Premium
88118,Retirees,Budget
88119,Midage Singles/Couples,Budget
88120,Older Singles/Couples,Budget
88121,Young Families,Mainstream
88122,Young Families,Budget
88123,Older Singles/Couples,Mainstream
88124,Older Singles/Couples,Budget
88125,Older Singles/Couples,Mainstream
88126,Young Families,Budget
88127,Young Singles/Couples,Premium
88128,Older Families,Budget
88129,Retirees,Premium
88130,Young Singles/Couples,Mainstream
88131,Older Families,Mainstream
88132,Young Singles/Couples,Premium
88133,Midage Singles/Couples,Mainstream
88134,Midage Singles/Couples,Mainstream
88135,Older Families,Budget
88136,Midage Singles/Couples,Mainstream
88137,Midage Singles/Couples,Premium
88138,Young Families,Budget
88139,Older Singles/Couples,Mainstream
88140,Midage Singles/Couples,Mainstream
88141,Older Singles/Couples,Budget
88142,Young Singles/Couples,Premium
88143,Older Singles/Couples,Mainstream
88144,Young Singles/Couples,Mainstream
88146,Older Singles/Couples,Mainstream
88147,Older Families,Mainstream
88148,Older Singles/Couples,Budget
88149,Midage Singles/Couples,Mainstream
88150,Young Families,Premium
88151,Retirees,Budget
88152,Older Families,Budget
88153,Older Families,Premium
88154,Young Singles/Couples,Mainstream
88155,Older Families,Mainstream
88156,Older Singles/Couples,Premium
88157,Young Families,Mainstream
88158,Older Singles/Couples,Premium
88159,Older Singles/Couples,Premium
88160,Retirees,Budget
88161,Older Families,Mainstream
88162,Young Singles/Couples,Mainstream
88163,Retirees,Budget
88164,Older Singles/Couples,Premium
88165,Midage Singles/Couples,Mainstream
88166,Midage Singles/Couples,Premium
88167,Older Singles/Couples,Premium
88168,Older Families,Premium
88169,Older Families,Premium
88170,Retirees,Mainstream
88171,Retirees,Premium
88172,Older Families,Premium
88173,Older Singles/Couples,Mainstream
88174,Older Singles/Couples,Premium
88175,Older Singles/Couples,Budget
88176,Young Singles/Couples,Mainstream
88177,Retirees,Mainstream
88178,Retirees,Budget
88179,Retirees,Mainstream
88180,Young Families,Mainstream
88181,Retirees,Premium
88182,Older Singles/Couples,Premium
88183,Older Families,Premium
88184,Older Families,Premium
88185,Older Families,Budget
88186,Older Singles/Couples,Premium
88187,Young Singles/Couples,Mainstream
88188,Retirees,Budget
88189,Older Singles/Couples,Budget
88190,Retirees,Mainstream
88191,New Families,Mainstream
88192,Young Singles/Couples,Budget
88193,Young Families,Mainstream
88194,Young Singles/Couples,Budget
88196,Retirees,Budget
88197,Young Families,Budget
88198,Older Singles/Couples,Mainstream
88199,Retirees,Mainstream
88200,Older Singles/Couples,Mainstream
88201,Young Families,Budget
88202,Retirees,Premium
88203,Older Families,Mainstream
88204,Retirees,Budget
88205,Retirees,Premium
88206,Young Singles/Couples,Mainstream
88207,Older Singles/Couples,Mainstream
88208,Older Singles/Couples,Budget
88209,Young Families,Budget
88210,Older Families,Mainstream
88211,Midage Singles/Couples,Budget
88212,Older Families,Budget
88213,Retirees,Premium
88214,Young Singles/Couples,Mainstream
88215,Retirees,Premium
88216,Midage Singles/Couples,Mainstream
88217,Older Singles/Couples,Budget
88218,Older Singles/Couples,Mainstream
88219,Older Singles/Couples,Budget
88220,Older Families,Premium
88221,Midage Singles/Couples,Mainstream
88222,Young Singles/Couples,Mainstream
88223,Older Families,Mainstream
88224,Midage Singles/Couples,Mainstream
88225,Retirees,Premium
88226,Young Families,Budget
88227,Older Families,Budget
88228,Young Singles/Couples,Mainstream
88229,Older Singles/Couples,Mainstream
88230,Midage Singles/Couples,Mainstream
88231,Older Singles/Couples,Premium
88232,Retirees,Mainstream
88233,Retirees,Mainstream
88234,Older Families,Budget
88235,Young Singles/Couples,Mainstream
88236,Older Singles/Couples,Premium
88237,Young Singles/Couples,Mainstream
88238,Midage Singles/Couples,Budget
88239,Young Families,Mainstream
88240,Older Singles/Couples,Budget
88241,Older Singles/Couples,Budget
88242,Older Singles/Couples,Budget
88243,Older Singles/Couples,Mainstream
88244,Young Families,Premium
88245,Older Singles/Couples,Mainstream
88246,Midage Singles/Couples,Budget
88247,Older Families,Budget
88248,Midage Singles/Couples,Premium
88249,Young Families,Budget
88250,Midage Singles/Couples,Mainstream
88251,Older Singles/Couples,Mainstream
88252,Young Singles/Couples,Budget
88253,Retirees,Premium
88254,Older Families,Budget
88256,Older Singles/Couples,Premium
88257,Young Families,Budget
88258,Older Singles/Couples,Premium
88259,Older Families,Budget
88260,Young Families,Mainstream
88261,Retirees,Mainstream
88262,Retirees,Premium
88263,Midage Singles/Couples,Mainstream
88264,Midage Singles/Couples,Budget
88265,Retirees,Mainstream
88266,Older Singles/Couples,Budget
88267,Older Singles/Couples,Mainstream
88268,Older Families,Budget
88269,Retirees,Premium
88270,New Families,Mainstream
88271,Older Families,Budget
88272,Retirees,Mainstream
88273,Older Singles/Couples,Budget
88274,Young Singles/Couples,Budget
88275,Retirees,Premium
88276,Retirees,Budget
88277,Older Singles/Couples,Mainstream
88278,Young Singles/Couples,Budget
88279,Young Families,Premium
88280,Midage Singles/Couples,Mainstream
88281,Older Families,Premium
88282,Young Families,Budget
88283,Retirees,Premium
88284,Older Singles/Couples,Budget
88285,Retirees,Mainstream
88286,Older Singles/Couples,Premium
88287,Midage Singles/Couples,Mainstream
88288,Older Singles/Couples,Premium
88289,Older Families,Premium
88290,Older Families,Mainstream
88291,Retirees,Budget
88292,Midage Singles/Couples,Budget
88293,Young Families,Budget
88294,Older Families,Budget
88295,Retirees,Budget
88296,Retirees,Mainstream
88297,Older Families,Budget
88298,Older Singles/Couples,Budget
88299,Retirees,Premium
88300,New Families,Premium
88301,Young Singles/Couples,Mainstream
88302,Retirees,Premium
88303,Midage Singles/Couples,Mainstream
88304,Retirees,Budget
88305,Midage Singles/Couples,Mainstream
88306,Older Singles/Couples,Premium
88307,Young Families,Budget
88309,Young Families,Budget
88310,Retirees,Budget
88311,Young Singles/Couples,Mainstream
88312,Older Singles/Couples,Mainstream
88313,Midage Singles/Couples,Mainstream
88314,Older Singles/Couples,Premium
88315,Older Singles/Couples,Premium
88316,Retirees,Mainstream
88317,Retirees,Budget
88318,Young Families,Mainstream
88319,Young Families,Mainstream
88320,Midage Singles/Couples,Budget
88321,New Families,Mainstream
88322,Young Singles/Couples,Mainstream
88323,Older Families,Premium
88324,Older Singles/Couples,Budget
88325,Older Singles/Couples,Budget
88326,Older Singles/Couples,Premium
88327,Older Singles/Couples,Mainstream
88328,Midage Singles/Couples,Mainstream
88329,Midage Singles/Couples,Premium
88330,Retirees,Premium
88331,Retirees,Mainstream
88332,Retirees,Premium
88333,Retirees,Budget
88334,Young Families,Budget
88335,Young Families,Budget
88336,Young Families,Premium
88337,Retirees,Mainstream
88338,Young Singles/Couples,Mainstream
88339,Retirees,Budget
88340,Young Families,Premium
88341,Midage Singles/Couples,Mainstream
88342,Young Singles/Couples,Mainstream
88343,Older Singles/Couples,Premium
88344,New Families,Mainstream
88345,Older Singles/Couples,Mainstream
88346,Older Singles/Couples,Mainstream
88347,Older Families,Budget
88348,Older Families,Budget
88349,Young Singles/Couples,Mainstream
88350,Older Singles/Couples,Budget
88351,Older Singles/Couples,Budget
88352,Older Families,Budget
88353,Older Singles/Couples,Mainstream
88354,Midage Singles/Couples,Mainstream
88355,Retirees,Premium
88356,Older Families,Mainstream
88357,Midage Singles/Couples,Premium
88358,Young Families,Budget
88359,Older Singles/Couples,Mainstream
88360,Older Singles/Couples,Budget
88361,Older Singles/Couples,Mainstream
88362,Retirees,Budget
88363,Retirees,Premium
88364,Young Singles/Couples,Mainstream
88365,Midage Singles/Couples,Premium
88366,Older Families,Budget
88367,Young Families,Premium
88368,Midage Singles/Couples,Mainstream
88369,Retirees,Budget
88370,Older Singles/Couples,Mainstream
88371,Retirees,Premium
88372,Retirees,Budget
88373,Older Singles/Couples,Mainstream
88374,Retirees,Premium
88375,Midage Singles/Couples,Mainstream
88376,Young Singles/Couples,Mainstream
88377,Young Families,Budget
88378,Older Families,Budget
88379,Young Singles/Couples,Mainstream
88380,Retirees,Premium
88381,Young Singles/Couples,Mainstream
88382,New Families,Budget
88383,Older Singles/Couples,Premium
89001,Retirees,Budget
89002,Young Singles/Couples,Mainstream
89003,Older Singles/Couples,Mainstream
89004,Retirees,Mainstream
89006,Young Families,Premium
89007,Older Families,Budget
89008,Midage Singles/Couples,Premium
89009,New Families,Budget
89012,Older Singles/Couples,Mainstream
89014,Retirees,Mainstream
89015,Midage Singles/Couples,Mainstream
89016,Older Singles/Couples,Mainstream
89017,Older Singles/Couples,Budget
89018,Retirees,Premium
89021,Older Families,Budget
89022,Retirees,Mainstream
89024,Older Families,Budget
89025,Retirees,Mainstream
89026,Young Families,Premium
89028,Young Families,Budget
89030,Older Families,Budget
89035,Midage Singles/Couples,Premium
89038,Young Singles/Couples,Budget
89039,Young Singles/Couples,Mainstream
89040,Young Families,Mainstream
89046,Retirees,Budget
89047,Older Singles/Couples,Premium
89048,Young Singles/Couples,Mainstream
89049,Young Families,Mainstream
89050,Retirees,Budget
89051,Retirees,Budget
89052,Midage Singles/Couples,Premium
89053,Young Singles/Couples,Mainstream
89054,Retirees,Premium
89058,Midage Singles/Couples,Premium
89059,Older Singles/Couples,Premium
89060,Older Families,Mainstream
89062,Older Families,Mainstream
89064,Retirees,Budget
89065,Retirees,Budget
89066,Older Singles/Couples,Mainstream
89067,Young Singles/Couples,Budget
89070,Older Families,Budget
89071,Retirees,Mainstream
89073,Young Singles/Couples,Mainstream
89074,Young Singles/Couples,Premium
89077,Retirees,Mainstream
89078,Older Singles/Couples,Budget
89079,Older Singles/Couples,Premium
89081,Young Families,Budget
89083,Older Families,Mainstream
89085,Retirees,Budget
89086,Young Singles/Couples,Budget
89087,Older Families,Budget
